model,dataset,n_features,ari,accuracy
kmeans,RP,12,0.05656959308122343,
kmeans,RP,11,0.057072657462800595,
kmeans,RP,10,0.05900974079806377,
kmeans,RP,9,0.05893505892268763,
kmeans,RP,8,0.06163315222250568,
kmeans,RP,7,0.06141569610797025,
kmeans,RP,6,0.05888785602101688,
kmeans,RP,5,0.05812212422729529,
kmeans,RP,4,0.05859683313590095,
kmeans,RP,3,0.05474409322583233,
kmeans,RP,2,0.054756104580785336,
kmeans,RP,1,0.04848271198183538,
gmm,RP,25,0.10361651499258814,
gmm,RP,24,0.10361651499258814,
gmm,RP,23,0.10361651499258814,
gmm,RP,22,0.10361651499258814,
gmm,RP,21,0.10361651499258814,
gmm,RP,20,0.10361651499258814,
gmm,RP,19,0.10361651499258814,
gmm,RP,18,0.10379968529979974,
gmm,RP,17,0.10379968529979974,
gmm,RP,16,0.10379968529979974,
gmm,RP,15,0.10398297362282592,
gmm,RP,14,0.10398297362282592,
gmm,RP,13,0.10382063857079393,
gmm,RP,12,0.10197329317474865,
gmm,RP,11,0.09902312668295458,
gmm,RP,10,0.0878148432751413,
gmm,RP,9,0.0709286432760222,
gmm,RP,8,0.058300587188149025,
gmm,RP,7,0.0641867642030663,
gmm,RP,6,0.0633481577156875,
gmm,RP,5,0.06165716062142452,
gmm,RP,4,0.059952938292316,
gmm,RP,3,0.05537112129959687,
gmm,RP,2,0.05621508003194114,
gmm,RP,1,0.054394623495226085,
mlp,RP,25,,0.745
mlp,RP,24,,0.7446
mlp,RP,23,,0.7446
mlp,RP,22,,0.7394
mlp,RP,21,,0.7392
mlp,RP,20,,0.7382
mlp,RP,19,,0.7328
mlp,RP,18,,0.7324
mlp,RP,17,,0.731
mlp,RP,16,,0.7262
mlp,RP,15,,0.7234
mlp,RP,14,,0.72
mlp,RP,13,,0.7204
mlp,RP,12,,0.7236
mlp,RP,11,,0.7102
mlp,RP,10,,0.711
mlp,RP,9,,0.7026
mlp,RP,8,,0.6972
mlp,RP,7,,0.6898
mlp,RP,6,,0.6862
mlp,RP,5,,0.6784
mlp,RP,4,,0.6722
mlp,RP,3,,0.6604
mlp,RP,2,,0.6546
mlp,RP,1,,0.648
